,id,name,popularity,duration,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
323,4P5KoWXOxwuobLmHXLMobV,Come As You Are,72,218920,Nirvana,0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.539,120.125
324,3omvXShuRPM3zbDpWYqf5g,MORE & MORE,76,199653,TWICE,0.739,0.841,-4.162,0.06,0.0312,0.0,0.562,106.99
325,1C5utO1I8FoSIn6g1R5DAZ,If You’re Too Shy (Let Me Know),61,319370,The 1975,0.64,0.628,-6.091,0.0324,0.0157,0.0382,0.235,125.648
327,3dP0pLbg9OfVwssDjp9aT0,Satisfied,74,329228,"Renée Elise Goldsberry, Original Broadway Cast of Hamilton",0.707,0.593,-8.581,0.0949,0.287,0.0,0.478,123.772
328,0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,77,333893,Led Zeppelin,0.412,0.902,-11.6,0.405,0.0484,0.131,0.422,89.74
329,5ovVcYo2MvjVydFwFyaaqy,I Should Probably Go To Bed,79,171826,Dan + Shay,0.721,0.277,-7.128,0.0365,0.634,0.0,0.309,131.935
330,7GLWWrk1YlkPYqJK3ynIA0,Lance Individual,79,164458,Jorge & Mateus,0.752,0.62,-5.536,0.0509,0.309,0.0,0.962,117.399
331,1lwvJQGhdq6Kyr4BBquf23,survivin',74,173206,Bastille,0.787,0.78,-5.023,0.129,0.25,0.0,0.68,95.035
332,6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,78,277476,U2,0.564,0.774,-9.424,0.0368,0.0135,0.00191,0.657,100.894
333,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,85,158571,Surfaces,0.878,0.525,-6.832,0.0578,0.183,0.0,0.694,112.022
334,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,88,240400,The Neighbourhood,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.398,124.053
335,1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,82,152913,"MEDUZA, Goodboys",0.677,0.744,-6.806,0.0295,0.0404,0.00016,0.631,124.08
336,0v1XpBHnsbkCn7iJ9Ucr1l,It's My Life,78,224493,Bon Jovi,0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.544,119.992
337,0XVH2UjkNeaXgh372YtzLe,Moviéndolo - Remix,53,224131,"Pitbull, Wisin & Yandel, El Alfa",0.499,0.814,-5.392,0.273,0.18,0.0,0.592,160.1
338,5vZ4IeUenK2cHub2d7yfWk,RADIO,67,277397,Rammstein,0.652,0.894,-5.145,0.0409,0.00404,0.00381,0.76,132.03
339,5NnQpVPJKpFdGFkIdY1Gds,My Own Soul’s Warning,63,274453,The Killers,0.355,0.963,-3.482,0.132,0.00133,0.00252,0.0923,152.05
340,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,87,245425,Billie Eilish,0.704,0.225,-14.454,0.0994,0.902,0.657,0.243,120.006
343,3AzjcOeAmA57TIOr9zF1ZW,Physical,81,193829,Dua Lipa,0.647,0.844,-3.756,0.0457,0.0137,0.000658,0.746,146.967
345,7yBbV2k2S2uhaQc24NF2xt,Stupid Love,79,193533,Lady Gaga,0.68,0.825,-4.296,0.0702,0.00173,0.000122,0.784,117.987
348,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),81,217306,"Camila Cabello, Young Thug",0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.394,104.988
349,7HMmFQsKsljwTw8bS7lu19,Rare,75,220589,Selena Gomez,0.838,0.545,-6.713,0.0706,0.208,8.01e-05,0.631,114.998
350,0eitFStHPvKcANp3gTMa4x,Boss Bitch,42,134239,Doja Cat,0.707,0.955,-4.593,0.222,0.127,0.0,0.575,125.989
353,367wyLNqQMr5e8S2E6Zvpp,Daisies,68,174312,Katy Perry,0.642,0.546,-5.377,0.0407,0.0825,0.0,0.142,122.165
356,4GMwkXRXJBedJMmvmltk0Q,Hey Boy,73,149469,Sia,0.572,0.623,-4.828,0.176,0.0544,0.0,0.594,185.812
357,1InCpEliLCkWHOBdXW7XSx,Kings & Queens,83,162398,Ava Max,0.637,0.69,-4.057,0.0405,0.00786,0.0,0.457,129.857
358,2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,89,209438,Tones And I,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.513,98.027
360,5Xhqh4lwJPtMUTsdBztN1a,Me Gusta,77,190570,"Shakira, Anuel AA",0.775,0.696,-5.184,0.0681,0.0559,0.00184,0.775,92.007
361,5JqZ3oqF00jkT81foAFvqg,Prisoner (feat. Dua Lipa),89,169333,"Miley Cyrus, Dua Lipa",0.781,0.67,-3.912,0.0452,0.0103,0.0,0.595,127.99
362,4kflIGfjdZJW4ot2ioixTB,Someone Like You,79,285040,Adele,0.559,0.33,-8.251,0.0285,0.892,0.0,0.285,135.109
363,0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,83,159862,"Marshmello, Demi Lovato",0.743,0.837,-5.025,0.0649,0.0172,0.0,0.263,103.072
364,7e1VoRlNumuEkXlITMHKLE,Me Gusta (with Cardi B & Myke Towers),84,180788,"Anitta, Myke Towers, Cardi B",0.91,0.604,-4.392,0.082,0.448,0.0,0.807,110.075
366,64I6t2tuUGnIlaDIzHJ6YI,Quero Você do Jeito Que Quiser,72,215978,"Marília Mendonça, Maiara & Maraisa",0.698,0.604,-4.574,0.0457,0.501,0.0,0.353,127.707
367,2fTdRdN73RgIgcUZN33dvt,"Baby, I'm Jealous (feat. Doja Cat)",81,175873,"Bebe Rexha, Doja Cat",0.737,0.867,-2.259,0.0458,0.0398,0.0,0.506,98.05
368,6kls8cSlUyHW2BUOkDJIZE,Hate Me (with Juice WRLD),80,186223,"Ellie Goulding, Juice WRLD",0.657,0.768,-4.628,0.0507,0.108,0.0,0.759,75.025
369,1mKXFLRA179hdOWQBwUk9e,Just Give Me a Reason (feat. Nate Ruess),81,242733,"P!nk, Nate Ruess",0.778,0.547,-7.273,0.0489,0.346,0.000302,0.441,95.002
372,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),90,173333,"Powfu, beabadoobee",0.726,0.431,-8.765,0.135,0.731,0.0,0.348,144.026
374,14LTSpk6BUkwIvvBEcpjVe,To Be Young (feat. Doja Cat),42,204503,"Anne-Marie, Doja Cat",0.576,0.608,-5.156,0.0515,0.343,4.28e-06,0.261,78.133
376,5Jq958VQwRyQFujau4TMKD,No Drama,78,204827,"Becky G, Ozuna",0.708,0.815,-4.164,0.0692,0.166,0.0,0.855,174.024
377,76Dlj7Baf1qzNG9CK5dS39,Underdog,57,204400,Alicia Keys,0.658,0.727,-4.752,0.0456,0.546,0.0,0.282,90.102
379,6I9VzXrHxO9rA9A5euc8Ak,Toxic,80,198800,Britney Spears,0.774,0.838,-3.914,0.114,0.0249,0.025,0.924,143.04
380,4w47S36wQGBhGg073q3nt7,TKN (feat. Travis Scott),83,129370,"ROSALÍA, Travis Scott",0.776,0.509,-6.266,0.467,0.192,1.49e-06,0.485,94.634
381,2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),82,291293,Whitney Houston,0.709,0.824,-8.824,0.0453,0.207,0.000307,0.867,118.818
383,0prNGof3XqfTvNDxHonvdK,Scars To Your Beautiful,73,230226,Alessia Cara,0.573,0.739,-5.74,0.129,0.0285,0.0,0.451,97.085
